created_at,entry_id,field1,field2,field3,field4
2021-04-13 17:46:57 UTC,4556,25.10,44.30,25.10,"44.70

"
2021-04-13 17:56:57 UTC,4557,25.00,44.10,25.10,"44.60

"
2021-04-13 18:06:57 UTC,4558,25.10,45.10,25.00,"45.80

"
2021-04-13 18:16:58 UTC,4559,25.10,44.90,24.90,"45.50

"
2021-04-13 18:26:58 UTC,4560,25.00,44.20,24.90,"45.00

"
2021-04-13 18:36:58 UTC,4561,25.00,43.80,24.80,"44.50

"
2021-04-13 18:46:58 UTC,4562,25.00,43.70,24.80,"44.20

"
2021-04-13 18:56:58 UTC,4563,25.00,43.50,24.90,"44.00

"
2021-04-13 19:06:57 UTC,4564,25.00,44.10,24.80,"44.70

"
2021-04-13 19:16:58 UTC,4565,24.80,44.10,24.60,"44.70

"
2021-04-13 19:26:58 UTC,4566,24.80,44.50,24.70,"45.20

"
2021-04-13 19:36:58 UTC,4567,24.80,44.10,24.70,"44.80

"
2021-04-13 19:46:58 UTC,4568,24.90,44.00,24.80,"44.60

"
2021-04-13 19:56:58 UTC,4569,24.90,44.20,24.80,"44.80

"
2021-04-13 20:06:58 UTC,4570,24.90,44.40,24.80,"45.20

"
2021-04-13 20:16:57 UTC,4571,24.90,44.50,24.80,"45.10

"
2021-04-13 20:26:58 UTC,4572,24.80,43.70,24.70,"44.60

"
2021-04-13 20:36:59 UTC,4573,25.00,44.50,25.10,"45.00

"
2021-04-13 20:46:59 UTC,4574,25.40,44.60,25.40,"44.70

"
2021-04-13 20:56:59 UTC,4575,25.50,45.10,25.50,"45.50

"
2021-04-13 21:06:59 UTC,4576,25.60,44.30,25.60,"44.70

"
2021-04-13 21:16:59 UTC,4577,25.60,45.30,25.60,"45.50

"
2021-04-13 21:26:59 UTC,4578,25.50,44.20,25.60,"44.50

"
2021-04-13 21:36:59 UTC,4579,25.50,43.30,25.50,"43.50

"
2021-04-13 21:46:59 UTC,4580,25.40,44.90,25.40,"45.40

"
2021-04-13 21:56:59 UTC,4581,25.40,44.70,25.20,"45.20

"
2021-04-13 22:06:59 UTC,4582,25.30,45.00,25.20,"45.60

"
2021-04-13 22:16:59 UTC,4583,25.30,45.30,25.20,"46.10

"
2021-04-13 22:26:58 UTC,4584,25.20,45.40,25.10,"46.40

"
2021-04-13 22:36:58 UTC,4585,25.20,45.80,25.20,"46.50

"
2021-04-13 22:46:59 UTC,4586,25.20,45.00,25.20,"45.40

"
2021-04-13 22:57:00 UTC,4587,25.10,44.30,25.00,"45.30

"
2021-04-13 23:07:00 UTC,4588,25.10,45.30,24.90,"46.20

"
2021-04-13 23:17:00 UTC,4589,25.10,46.20,24.90,"47.00

"
