created_at,entry_id,field1,field2,field3
2025-08-18 10:50:33 UTC,1,1,1,1
2025-08-18 10:50:51 UTC,2,1,1,1
2025-08-18 10:51:08 UTC,3,0,0,0
2025-08-18 10:51:26 UTC,4,1,1,1
2025-08-18 10:51:44 UTC,5,0,0,0
2025-08-18 10:52:01 UTC,6,1,1,1
2025-08-18 10:52:19 UTC,7,1,1,1
2025-08-18 10:52:37 UTC,8,0,0,0
2025-08-18 10:52:54 UTC,9,0,0,0
2025-08-18 10:53:11 UTC,10,1,1,1
2025-08-18 10:53:28 UTC,11,0,0,0
2025-08-18 10:53:47 UTC,12,1,1,1
2025-08-18 10:54:05 UTC,13,0,0,0
2025-08-18 10:54:23 UTC,14,1,1,1
2025-08-18 10:54:40 UTC,15,0,0,0
2025-08-18 10:54:57 UTC,16,1,1,1
2025-08-18 10:55:15 UTC,17,0,0,0
2025-08-18 10:55:33 UTC,18,0,0,0
2025-08-18 10:55:52 UTC,19,0,0,0
2025-08-18 10:56:09 UTC,20,0,0,0
2025-08-18 10:56:26 UTC,21,0,0,0
2025-08-18 10:56:44 UTC,22,1,1,1
2025-08-18 10:57:01 UTC,23,0,0,0
2025-08-18 10:57:18 UTC,24,0,0,0
2025-08-18 10:57:36 UTC,25,1,1,1
2025-08-18 10:57:53 UTC,26,0,0,0
2025-08-18 10:59:43 UTC,27,0,0,0
2025-08-18 11:00:00 UTC,28,1,1,1
2025-08-18 11:00:18 UTC,29,0,0,0
2025-08-18 11:00:35 UTC,30,1,1,1
2025-08-18 11:00:53 UTC,31,0,0,0
