created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2025-08-19 05:25:30 UTC,251127,-27.46,-3.79,-25.98,,-0.78,,5.32,
2025-08-19 05:41:00 UTC,251128,,,,3.04,,-21930.26,,-3.74
2025-08-19 05:41:30 UTC,251129,-28.33,-3.77,-21.05,,-0.86,,5.25,
2025-08-19 05:57:00 UTC,251130,,,,4.16,,-21932.90,,-3.73
2025-08-19 05:57:30 UTC,251131,-29.27,-3.67,-39.53,,-0.93,,5.17,
2025-08-19 06:13:00 UTC,251132,,,,4.08,,-21936.65,,-3.72
2025-08-19 06:13:30 UTC,251133,-30.40,-3.63,-35.03,,-1.02,,5.09,
2025-08-19 06:29:00 UTC,251134,,,,2.22,,-21942.15,,-3.75
2025-08-19 06:29:30 UTC,251135,-31.43,-3.69,-30.10,,-1.08,,5.02,
2025-08-19 06:45:00 UTC,251136,,,,4.79,,-21943.27,,-3.64
2025-08-19 06:45:30 UTC,251137,-32.49,-3.51,-25.30,,-1.11,,4.99,
2025-08-19 07:01:00 UTC,251138,,,,4.45,,-21947.13,,-3.66
2025-08-19 07:01:30 UTC,251139,-33.69,-3.49,-44.31,,-1.14,,4.97,
2025-08-19 07:17:00 UTC,251140,,,,2.52,,-21952.54,,-3.79
2025-08-19 07:17:30 UTC,251141,-34.74,-3.60,-39.25,,-1.16,,4.94,
2025-08-19 07:33:00 UTC,251142,,,,3.29,,-21955.38,,-3.88
2025-08-19 07:33:30 UTC,251143,-35.87,-3.48,-34.63,,-1.17,,4.94,
2025-08-19 07:48:45 UTC,251144,,,,2.62,,-21959.53,,-3.89
2025-08-19 07:49:30 UTC,251145,-36.96,-3.41,-29.64,,-1.14,,4.96,
2025-08-19 08:05:00 UTC,251146,,,,4.86,,-21960.70,,-3.59
2025-08-19 08:05:30 UTC,251147,-38.00,-3.24,-48.47,,-1.13,,4.97,
2025-08-19 08:21:00 UTC,251148,,,,2.48,,-21966.33,,-3.84
2025-08-19 08:21:30 UTC,251149,-39.40,-3.29,-44.87,,-1.21,,4.89,
2025-08-19 08:37:00 UTC,251150,,,,4.41,,-21967.69,,-3.52
2025-08-19 08:37:30 UTC,251151,-40.53,-3.14,-39.14,,-1.26,,4.84,
2025-08-19 08:53:00 UTC,251152,,,,3.54,,-21971.69,,-3.30
2025-08-19 08:53:30 UTC,251153,-41.83,-3.06,-34.82,,-1.31,,4.79,
2025-08-19 09:09:00 UTC,251154,,,,5.72,,-21972.58,,-3.08
2025-08-19 09:09:30 UTC,251155,-43.19,-2.83,-53.94,,-1.32,,4.78,
2025-08-19 09:25:00 UTC,251156,,,,5.16,,-21975.97,,-2.91
2025-08-19 09:25:30 UTC,251157,-44.50,-2.77,-50.08,,-1.38,,4.72,
